,NORAD ID,Name,EPOCH,Semi-major axis(m),Inclination,Raan,Mean_Longitude,Sub_Longitude
0,46578,0 STARLINK-1683,2021-02-11 14:00:01,6925276.25892994,53.03131896209261,180.95686470366743,127.13364099971625,149.84077590511765
1,45381,0 STARLINK-1258,2021-02-11 17:58:33,6925386.881163048,53.05671897117474,180.28486446338434,180.19500492106653,128.62556281861922
2,45390,0 STARLINK-1284,2021-02-11 19:28:45,6925336.819565357,53.056118970960206,180.0055643635167,179.91130199267084,105.73542327832777
3,45384,0 STARLINK-1267,2021-02-11 19:07:32,6925323.263797996,53.05671897117474,180.07556438854618,179.9848983023036,111.12480002465541
4,45382,0 STARLINK-1264,2021-02-11 19:02:14,6925425.171203063,53.056118970960206,180.09326439487506,179.9955055810601,112.47013067608957
5,45393,0 STARLINK-1291,2021-02-11 18:56:55,6925315.11749718,53.057518971460794,180.1032643984507,180.01220177474258,113.81353687329445
6,45395,0 STARLINK-1297,2021-02-11 18:46:19,6925398.766864442,53.05651897110323,180.13556441000003,180.03810575724174,116.50311957041056
7,45389,0 STARLINK-1283,2021-02-11 18:30:25,6925339.182560306,53.05711897131776,180.1849644276637,180.08870398226665,120.54028865216337
8,45391,0 STARLINK-1289,2021-02-11 18:14:28,6925396.314936305,53.0559189708887,180.23486444550613,180.1437033713574,124.58579859705222
9,45387,0 STARLINK-1274,2021-02-11 18:09:09,6925324.55102605,53.05731897138928,180.24556444933208,180.15390222663558,125.93166174321297
10,45394,0 STARLINK-1292,2021-02-11 18:03:53,6925383.402505576,53.05571897081718,180.2661644566979,180.1744013754904,127.27146398515755
11,45392,0 STARLINK-1290,2021-02-11 09:02:52,6925679.229660629,52.993518948576686,181.53916491187707,181.4414254755537,-95.83193665370904
12,45380,0 STARLINK-1207,2021-02-11 12:55:59,6925336.641804469,53.056418971067465,181.22586479985225,181.1322064761162,-154.58417792794043
13,45386,0 STARLINK-1272,2021-02-11 12:50:44,6925379.85335999,53.05571897081718,181.24326480607385,181.14990359461666,-153.2482661733173
14,45397,0 STARLINK-1307,2021-02-11 09:02:27,6925369.064966089,53.0552189706384,181.96206506309096,181.86609534720816,-95.30496864205855
15,45398,0 STARLINK-1312,2021-02-11 08:51:51,6925388.649609973,53.057518971460794,181.99016507313854,181.8954958326042,-92.61682517791807
16,45396,0 STARLINK-1303,2021-02-11 10:22:05,6925321.032604119,53.05781897156807,181.70946497277023,181.61650264145442,-115.51750218785709
17,45383,0 STARLINK-1266,2021-02-11 09:50:13,6925345.361295929,53.055618970781424,181.80936500849094,181.71500096249943,-107.43021474260249
18,45361,0 STARLINK-1301,2021-02-11 12:29:28,6925400.201243405,53.0559189708887,181.31486483167544,181.21930758820602,-147.84760635287185
19,46559,0 STARLINK-1681,2021-02-11 14:00:01,6925373.84618093,53.032918962664716,181.0173647253001,202.12370454348732,-157.71746640317176
20,46553,0 STARLINK-1664,2021-02-11 14:00:01,6925343.982112676,53.027918960876896,181.01176472329772,307.23808640266753,-29.914283221717167
