,Norad_ID,Name,EPOCH,Label,dbscan_labels,SMA_Class,SMA_Cluster,Semi-major axis(m),Inclination,Raan,Mean_Longitude,Sub_Longitude,mean-longitude at last epoch ,Type of Arrangement
0,46043.0,0 STARLINK-1582,2021-02-11 18:01:11,0.008,0.0,0.0,8.0,6925363.909844976,53.05641897106746,160.28025731045622,160.18495833339358,107.9627414257022,160.18495833339358,-1
1,46032.0,0 STARLINK-1555,2021-02-11 17:55:53,0.008,0.0,0.0,8.0,6925347.5128231775,53.057018971282005,160.29095731428214,160.19446345158403,109.303723900484,180.1542679698315,-1
2,46038.0,0 STARLINK-1567,2021-02-11 17:39:57,0.008,0.0,0.0,8.0,6925371.777385035,53.0568189712105,160.34525733369787,160.2442864494196,113.348802963117,240.20861762340948,-1
3,46031.0,0 STARLINK-1544,2021-02-11 17:13:25,0.008,0.0,0.0,8.0,6925356.851451546,53.05531897067415,160.42535736233876,160.32550679223797,120.080948041802,340.2144503173818,-1
4,46030.0,0 STARLINK-1534,2021-02-11 17:08:06,0.008,0.0,0.0,8.0,6925326.90788087,53.0568189712105,160.4419573682743,160.34092228567542,121.43074890202814,0.25369307065022895,-1
5,46045.0,0 STARLINK-1591,2021-02-11 17:02:48,0.008,0.0,0.0,8.0,6925364.587181984,53.057718971532296,160.45965737460318,160.3560317926117,122.77794532549856,20.226901763833837,-1
6,46041.0,0 STARLINK-1580,2021-02-11 17:01:27,0.008,0.0,0.0,8.0,6925376.904936804,53.056718971174746,160.46385737610495,160.35982561937143,123.11958396743135,25.31417776867619,-1
7,46028.0,0 STARLINK-1523,2021-02-11 16:52:11,0.008,0.0,0.0,8.0,6925332.688160093,53.05761897149655,160.48325738304175,160.38163554909696,125.46467438461087,60.23652875406401,-1
8,46029.0,0 STARLINK-1526,2021-02-11 16:41:35,0.008,0.0,0.0,8.0,6925397.194565278,53.060718972605,160.5161573948056,160.4135505808074,128.15221612053432,100.18399264976927,-1
9,46044.0,0 STARLINK-1584,2021-02-11 16:46:52,0.008,0.0,0.0,8.0,6925349.109612994,53.06081897264076,160.51245739348263,160.4151513664229,126.8233668316544,80.29168459055421,-1
10,46042.0,0 STARLINK-1581,2021-02-11 16:36:16,0.008,0.0,0.0,8.0,6925358.068203276,53.060618972569245,160.52995739973997,160.4347501833949,129.50135141100742,120.2302581089794,-1
11,46027.0,0 STARLINK-1522,2021-02-11 14:55:25,0.008,0.0,0.0,8.0,6925355.079960053,53.05691897124626,160.86765752048942,160.76636844046573,155.11770198352394,140.36264682837748,-1
12,46039.0,0 STARLINK-1569,2021-02-11 14:39:30,0.008,0.0,0.0,8.0,6925376.950910113,53.05631897103172,160.9082575350065,160.81067773163068,159.1499205463066,200.3454400788678,-1
13,46566.0,0 STARLINK-1740,2021-02-11 22:00:01,0.008,1.0,0.0,8.0,6925357.777040972,53.05721897135353,189.5272677681354,24.363041972745627,-93.4240041884572,307.85949171367974,-1
14,46563.0,0 STARLINK-1730,2021-02-12 06:00:00,0.008,1.0,0.0,8.0,6925416.503564215,53.05641897106746,188.0300672327904,91.38827361836012,-145.0914743789553,7.25385300410494,-1
15,46582.0,0 STARLINK-1728,2021-02-12 06:00:00,0.008,1.0,0.0,8.0,6925402.55816259,53.054918970531126,188.03466723443512,96.5185865043432,-136.63462134551716,12.388261269255509,-1
16,46584.0,0 STARLINK-1732,2021-02-12 06:00:00,0.008,1.0,0.0,8.0,6925454.303617966,53.056118970960206,188.02886723236125,111.39058686997612,-112.61800423937748,27.245065527971292,-1
17,46571.0,0 STARLINK-1753,2021-02-12 06:00:00,0.008,1.0,0.0,8.0,6925402.8217453575,53.055618970781424,188.02476723089524,131.41429037726542,-86.66129527654795,47.28388773501001,-1
18,46569.0,0 STARLINK-1747,2021-02-11 22:00:01,0.008,1.0,0.0,8.0,6925366.006218873,53.05541897070991,189.5248677672773,144.35298514984933,46.31894648026068,67.84379627890758,-1
19,46564.0,0 STARLINK-1733,2021-02-11 22:00:01,0.008,1.0,0.0,8.0,6925373.3649941925,53.06271897332013,189.48996775479827,184.2291227043536,74.19071364808363,107.714891633369,-1
20,46570.0,0 STARLINK-1748,2021-02-12 12:00:02,0.008,1.0,0.0,8.0,6925336.0012524,53.05811897167535,186.9036668300301,207.05796730666387,-123.3772599554284,207.05796730666387,-1
21,46567.0,0 STARLINK-1741,2021-02-12 06:00:00,0.008,1.0,0.0,8.0,6925447.223539451,53.07731897854058,187.93666719939384,231.35441175924927,-14.885521900651144,147.21096960974455,-1
22,46541.0,0 STARLINK-1687,2021-02-11 22:00:01,0.008,1.0,0.0,8.0,6925296.0635831375,53.057018971282005,189.5264677678494,244.4634362530012,118.0254042469586,168.00217243293628,-1
23,46562.0,0 STARLINK-1714,2021-02-12 12:00:02,0.008,1.0,0.0,8.0,6925315.200247295,53.05531897067415,186.91586683439232,267.0323921828583,-61.73242384379425,267.0323921828583,-1
24,46591.0,0 STARLINK-1755,2021-02-12 06:00:00,0.008,1.0,0.0,8.0,6925432.428992239,53.0848189812223,187.89206718344647,271.3085800745528,34.80473962365589,187.16948262729784,-1
25,46565.0,0 STARLINK-1735,2021-02-12 06:00:00,0.008,1.0,0.0,8.0,6925435.984335093,53.04051896538221,188.10626726003676,276.58659034997027,43.40712451805224,192.44644880604892,-1
26,44747.0,0 STARLINK-1042,2021-02-12 07:30:38,0.008,2.0,0.0,8.0,6925377.471941018,53.05651897110323,257.7575921648458,257.6306424462335,2.5253023195869626,257.6306424462335,-1
