,NORAD ID,SATNAME,EPOCH,MEAN MOTION(rev/day),SEMI MAJOR (m),ORBITAL PERIOD(sec),ECCENTRICITY,SEMI LATUS RECTUM(m),INCLINATION(deg),RIGHT ASCENSION ASCENDING NODE(deg),ARGUMENT PERIGEE(deg),ALTITUDE PERIGEE(km),ALTITUDE APOGEE(km),AVERAGE ALTITUDE(km),CIRCULAR ORBIT,ORBIT CLASS,ANNUAL PRECESSION(rad/yr),SUN-SYNCHRONOUS,MEAN LOCAL TIME ASCENDING NODE,DAYS,MEAN ANAMOLY(deg)
0,29092,0 YAOGAN 1,2021-02-12 02:19:41,14.831282049998105,6997604.271415489,5825.524705735799,0.00014450000000000002,6997604.125303763,97.92153501321958,71.65092561979436,91.97753288785816,625.5931175982696,627.6154252327087,626.6042714154893,True,LEO,6.328579740198169,True,19.162734154560173,62.001202441395435,268.1604
1,31490,0 YAOGAN 2,2021-02-12 08:44:39,14.770240409998115,7016870.55976806,5849.600114938882,0.0021566,7016837.9248394575,98.1784351050778,181.45916488327202,60.51612163838889,630.737976718865,661.0031428172551,645.87055976806,True,LEO,6.469944042313876,True,2.465717083936136,59.00517635219875,299.8197
2,32289,0 YAOGAN 3,2021-02-12 08:20:06,14.810656319998104,7004099.469383247,5833.637492711121,0.0001214,7004099.366157113,97.98153503467344,63.26792262233396,102.01473647680125,632.2491717076647,633.9497670588316,633.0994693832481,True,LEO,6.35553362549049,True,18.58742117048733,4.999439018138219,258.1209
3,33446,0 YAOGAN 4,2021-02-12 07:01:19,14.770678609998107,7016731.779961392,5849.42657553436,0.0014884,7016716.235552982,97.76073495572328,355.2070270092593,283.9450015285217,635.2880763800987,656.1754835426872,645.7317799613929,True,LEO,6.141975777662614,True,14.053623079802025,45.997421905747615,76.0106
4,34839,0 YAOGAN 6,2021-02-12 10:07:54,15.272785629998046,6862088.855312318,5657.121241215966,0.0025959,6862042.6137760375,97.04353469927824,44.25911582546821,244.19498731534603,473.2755588528125,508.9021517718229,491.08885531231766,True,LEO,6.029885813013192,True,17.31524837878207,64.99276191200624,115.6613
5,36110,0 YAOGAN 7,2021-02-12 10:49:52,14.754571999998115,7021837.32556118,5855.812015422129,0.0024664,7021794.610819193,98.24703512960673,250.10578942883632,164.77845891885138,633.5186659814152,668.1559851409447,650.8373255611799,True,LEO,6.5077217669589995,True,7.036444977817166,4.001174403681944,195.4176
6,36121,0 YAOGAN 8,2021-02-11 20:34:16,13.049627089998332,7620844.622461602,6620.878849957306,0.0021585000000000003,7620809.116014858,100.21273583247059,356.5432274870366,31.927711416201447,1233.3950293440187,1266.2942155791852,1249.8446224616016,True,LEO,6.0400052045064285,True,14.171315933921688,70.99218445424049,328.3134
7,36413,0 YAOGAN 9A,2021-02-12 03:45:21,13.451956459998279,7468124.327208183,6422.857541720807,0.036723,7458052.973594982,63.38972266588528,354.03912659166014,9.557003417240743,822.8723975401163,1371.3762568762484,1097.1243272081824,False,LEO,,False,,,1.8667
8,36414,0 YAOGAN 9B,2021-02-11 20:27:09,13.452078019998279,7468079.336560188,6422.799501426837,0.0366774,7458033.0397168975,63.390622666207065,354.36652670872667,8.970503207529358,823.1696035014348,1370.9890696189395,1097.0793365601871,False,LEO,,False,,,351.7647
9,36415,0 YAOGAN 9C,2021-02-12 10:42:38,13.452072989998276,7468081.19820321,6422.801903040443,0.0367987,7457968.338454743,63.389322665742256,353.49562639732414,9.247503306574636,822.2655186148895,1371.8968777915304,1097.08119820321,False,LEO,,False,,,351.5088
10,36834,0 YAOGAN 10,2021-02-12 06:26:48,14.810223219998104,7004236.017435249,5833.808087600921,0.0001223,7004235.91267086,97.98033503424436,51.32591835230267,79.93982858360802,632.3793993703166,634.0926355001803,633.2360174352484,True,LEO,6.354150699840371,True,17.796457527388284,4.9995872000508825,280.1951
11,37165,0 YAOGAN 11,2021-02-12 07:48:27,14.762906309998113,7019194.319476261,5852.506151955042,0.0038685,7019089.27518191,98.29163514555408,161.74935783575376,357.9463279887348,621.0405662513667,675.3480727011548,648.1943194762607,True,LEO,6.551413160407377,True,1.154294401005533,45.00441849682103,2.1582
12,37875,0 YAOGAN 12,2021-02-12 09:01:31,15.235947589998052,6873145.345046889,5670.7992390784375,0.0009601,6873139.009436428,97.36703481495026,120.81564319932936,16.443805879713647,495.5464382011096,508.74425189266816,502.1453450468889,True,LEO,6.269833894485853,True,22.422045998063137,52.999097716012315,52.8564
