,Name,Label,Semi-major axis(m),Inclination,Raan
0,0 VANGUARD 2,0.663,8123444.84085871,32.86521175141786,236.48048455691728
1,0 VANGUARD 3,0.004,8263180.325179747,33.3449119229414,47.0561168255752
2,0 EXPLORER 7,0.253,6959261.4722634675,50.28401797975658,58.421520889434994
3,0 TIROS 1,0.417,7025182.801434504,48.378517298418075,259.52119279544604
4,0 TRANSIT 2A,0.55,7157506.984615055,66.69442384752759,108.49583879421036
5,0 SOLRAD 1 (GREB),0.412,7105860.6062541725,66.69032384606156,120.21354298403999
6,0 COURIER 1B,0.36,7463945.699221233,28.329410129578317,319.7135143180556
7,0 EXPLORER 11,0.677,7240505.082136247,28.786210292913623,268.5825960354779
8,0 TRANSIT 4A,0.282,7300525.415578159,66.81192388954139,342.8172225791108
9,0 SOLRAD 3/INJUN 1,0.773,7307252.395065289,66.81202388957713,81.030628973639
10,0 TIROS 3,0.24,7123198.787208092,47.89791712657272,233.05118333072244
11,0 TRAAC,0.354,7405056.815984143,32.43961159923855,187.08866689617943
12,0 TIROS 4,0.108,7117871.487794703,48.29491726852569,190.13636798592773
13,0 TIROS 5,0.08,7081374.067058335,58.09022077097398,167.39485985438225
14,0 FTV 3502,0.236,6995467.088325878,98.44823520154863,323.88221580863325
15,0 TIROS 6,0.485,6980669.488657285,58.305020847778756,182.45296523861919
16,0 ALOUETTE 1 (S-27),0.651,7380708.883765963,80.46392877100737,26.104009333855014
17,0 ANNA 1B,0.465,7505064.87696825,50.140017928267355,207.7206742734433
18,0 EXPLORER 16,0.464,7323715.432400572,52.00111859373001,256.59469174903444
19,0 MIDAS 6 (FTV 1169),0.177,10022279.47225772,87.34923123294395,21.827607804767613
20,0 DASH 1,0.476,10019481.373091584,87.34363123094158,17.306006188005473
21,0 WESTFORD NEEDLES,0.011,10007189.797499938,87.35663123558994,16.233205804410638
22,0 ERS 6,0.177,10022100.606947964,87.34603123179974,19.661607030283626
23,0 HITCH HIKER 1,0.019,7059906.172443016,81.97902931275286,238.6450853309006
24,0 MIDAS 7/ERS 10,0.07,10079369.18724641,88.40913161192621,320.96331476493924
25,0 WESTFORD NEEDLES,0.476,10019901.34894074,87.34503123144216,17.934806412841823
