,Epoch,Semi Major Axis(km),Inclination,Right Ascension ascending node,Eccentricity,Argument perigee,Orbital period,True anomaly,Altitude Of Perigee(km),Altitude of Apogee(km),Orbital Speed at perigee(m/s)
0,2451137.5,6638.553430385497,0.9004293237378906,2.9387644505570285,0.0125362,1.5082873596347195,16.05064833,57.295184659127905,184.33119687149883,350.77566389949607,7846.5157002038295
1,2451137.5,6638.361573638685,0.9004397957134025,2.9222344372113898,0.0125858,1.5942343533199284,16.05134416,-1.9816010237944102,183.81248254518323,350.9106647321869,7847.018350195943
2,2451137.5,6638.724021184623,0.9005183355297423,2.9167104701288276,0.0123861,1.5327114971871283,16.05002967,2.1706920630684308,185.4961215858284,349.95192078341825,7845.237044880912
3,2451137.5,6638.724021184623,0.9005183355297423,2.9167104701288276,0.0123861,1.5327114971871283,16.05002967,2.1706920630684308,185.4961215858284,349.95192078341825,7845.237044880912
4,2451137.5,6638.526587859814,0.9005043728957264,2.9108583811468907,0.0123964,1.5389039253732044,16.05074568,1.9228954311531312,185.23275686606848,349.8204188535601,7845.434524751277
5,2451137.5,6638.42385256402,0.9004799382861983,2.904962658933654,0.0124158,1.5420420273682902,16.05111828,1.7470850235146909,185.0025096953559,349.8451954326856,7845.647459440002
6,2451137.5,6637.510160337201,0.9004973915787184,2.881559538993662,0.0122649,1.5569593564850857,16.05443269,0.896318823971485,185.1017619716813,347.9185587027205,7845.00335990312
7,2451138.5,6637.017917253896,0.9004624849936784,2.869946118150892,0.0123823,1.5625234661404435,16.05621877,0.5581160202029574,183.8363702970828,348.19946421070927,7846.215503490497
8,2451138.5,6673.987816525101,0.9004816836154504,2.829049563118161,0.0074012,1.698346733859894,15.92299093,-8.308915977031871,253.59229789743586,352.38333515276736,7785.572300513967
9,2451138.5,6674.045586039065,0.9004642303229304,2.823064829113072,0.0074408,1.7044274609738423,15.92278419,-7.578503978758075,253.3853476424656,352.705824435664,7785.846935495615
10,2451138.5,6674.236124759238,0.9005183355297423,2.8060600862108913,0.0074891,1.7295985994461045,15.92210234,-9.258004938610005,253.25210299730315,353.22014652117196,7786.11187906952
11,2451138.5,6673.856195337653,0.9005008822372224,2.7944466653681213,0.0074476,1.7463764495455263,15.923461979999999,-9.826562903561223,253.15198393725586,352.56040673805,7786.0103557245975
12,2451139.5,6673.705964270503,0.9005410248100182,2.7655352863088347,0.007416,1.766461698577477,15.92399966,-11.037447962276808,253.21376083947234,352.19816770153284,7785.851939847753
13,2451139.5,6673.379429180248,0.9005497514562782,2.736681503114865,0.0073625,1.7808571742479262,15.92516844,-11.817636970657004,253.24667313290774,351.512185227587,7785.625857384433
14,2451139.5,6673.333013246194,0.9004904102617103,2.7308276688036757,0.0074296,1.7873009298462892,15.925334590000002,-12.214905492768874,252.75281829098003,351.91320820140845,7786.1753969647225
15,2451139.5,6673.316106481162,0.9004956462494663,2.730845122096196,0.0074392,1.787943211011023,15.92539511,-12.243419763700123,252.67197330182717,351.9602396604969,7786.26001191758
16,2451139.5,6673.193429486086,0.9004921555909624,2.713426736161292,0.0074252,1.7985443408876367,15.92583426,-12.838034231276065,252.64363363346547,351.7432253387051,7786.222567243911
17,2451139.5,6673.1187533418015,0.9004956462494663,2.7019075630981293,0.0073662,1.8084682830144763,15.92610159,-13.392910690276175,252.96322598093502,351.2742807026689,7785.806732061952
18,2451140.5,6672.8224688903765,0.9005113542127343,2.672968258770812,0.0073757,1.8338785315942618,15.927162319999999,-14.80061469825221,252.6057322065817,351.03920557417223,7786.053552724459
19,2451140.5,6724.661242028253,0.9003909264943467,2.6546667362343994,0.0055349,0.9331385392495163,15.74334979,56.084519986589235,316.44091451975055,390.8815695367548,7741.720416667788
20,2451140.5,6724.943988517437,0.9003734732018268,2.654452060736404,0.0055621,0.948610883068446,15.742356920000002,53.148801595276694,316.53917755890416,391.3487994759689,7741.768246531153
21,2451140.5,6725.312241126211,0.9004467770304105,2.6500660483261425,0.0055817,1.0236076810266423,15.741063949999997,29.860792746885352,316.7735657899166,391.85091646250567,7741.708029387297
22,2451140.5,6725.503400786672,0.9004485223596626,2.6443518403551125,0.0055469,1.0591705098652788,15.740392840000002,28.127031401721535,317.19770597284787,391.8090956004944,7741.328595667773
23,2451140.5,6725.458240865085,0.9005427701392702,2.6444792493905083,0.0054211,1.024644406602327,15.74055138,29.903902405539174,317.9988591955316,390.9176225346382,7740.38075581382
24,2451140.5,6725.593942246934,0.9004589943351745,2.638719662858927,0.0055593,1.0616610947078746,15.74007499,28.014540118024232,317.20434784379995,391.98353665006744,7741.372483121767
25,2451140.5,6725.593942246934,0.9004589943351745,2.638719662858927,0.0055593,1.0616610947078746,15.74007499,28.014540118024232,317.20434784379995,391.98353665006744,7741.372483121767
26,2451140.5,6725.5014837391445,0.9004363050548986,2.6215927469091067,0.0054788,1.0866419922916695,15.740399570000001,26.817969819456994,317.6538062100344,391.34916126825374,7740.802516344127
27,2451140.5,6725.482863097463,0.9004136157746226,2.615875048279573,0.0054968,1.0977405410051015,15.74046494,26.254325171262774,317.51422889558944,391.45149729933746,7740.95257228861
28,2451140.5,6725.325688026854,0.9004869196032064,2.604553097421886,0.0055085,1.09889420364067,15.74101674,26.323281141467472,317.2792314743574,391.37214457934897,7741.133600689159
29,2451140.5,6725.32790117496,0.9004851742739544,2.5988493614263684,0.0055042,1.1052594194226932,15.74100897,25.80984162496956,317.31035134131344,391.3454510086076,7741.099039169332
