,Name,Label,Semi-major axis(m),Inclination,Raan
0,0 STARLINK-1715,0,6925355.178035677,53.05281896978025,287.01950262785266
1,0 STARLINK-1716,0,6925363.079264529,53.05871897188987,281.990700829734
2,0 STARLINK-1717,0,6925433.25652853,53.056118970960206,295.54170567508606
3,0 STARLINK-1718,0,6925386.657425475,53.05171896938692,280.522600304794
4,0 STARLINK-1720,0,6925395.524189945,53.05321896992328,283.5148013746976
5,0 STARLINK-1731,1,6796645.871801036,53.05241896963722,266.4854952856301
6,0 STARLINK-1766,0,6925441.712737616,53.05371897010205,280.52780030665343
7,0 STARLINK-1773,1,6794284.16762569,53.052918969816,267.9640958143245
8,0 STARLINK-1774,0,6925365.552617368,53.055118970602635,297.0407062110747
9,0 STARLINK-1775,0,6925392.207961543,53.05221896956571,297.03520620910814
10,0 STARLINK-1776,0,6925350.7247928865,53.05401897020932,297.03670620964454
11,0 STARLINK-1778,0,6925465.533701696,53.030618961842315,295.6517057144181
12,0 STARLINK-1780,0,6925404.069166453,53.055518970745666,280.53180030808363
13,0 STARLINK-1781,0,6925444.983050843,53.048618968278475,295.5461056766593
14,0 STARLINK-1783,0,6925420.297951575,53.053618970066296,295.53990567444237
15,0 STARLINK-1784,4,6777787.814789275,53.05241896963722,267.87119578110674
16,0 STARLINK-1786,0,6925439.021704885,53.05401897020932,295.53900567412063
17,0 STARLINK-1788,0,6925334.3707568925,53.05371897010205,297.03270620821417
18,0 STARLINK-1789,0,6925406.110402186,53.04361896649066,270.63949677095167
19,0 STARLINK-1790,0,6925350.24973988,53.04281896620461,282.08550086363107
20,0 STARLINK-1791,0,6925343.338494059,53.055118970602635,297.0373062098589
21,0 STARLINK-1792,0,6925392.296843767,53.03551896359438,280.615400337976
22,0 STARLINK-1793,1,6793936.688355328,53.05071896902936,267.95179580992647
23,0 STARLINK-1794,0,6925407.9616142735,53.05461897042386,295.5369056733698
24,0 STARLINK-1795,4,6777829.798169571,53.05311896988752,267.9487958088537
25,0 STARLINK-1796,0,6925414.045490524,53.05381897013782,295.53750567358423
26,0 STARLINK-1797,0,6925397.121007442,53.053618970066296,280.5207003041146
27,0 STARLINK-1799,0,6925303.747042119,53.05321896992328,282.01840083963856
28,0 STARLINK-1800,0,6925330.63778395,53.055118970602635,298.5330067446677
29,0 STARLINK-1801,0,6925320.523843129,53.05801897163958,282.0279008430354
30,0 STARLINK-1802,1,6793627.19954193,53.05301896985176,267.9406958059575
31,0 STARLINK-1803,0,6925350.360074764,53.05141896927965,282.02470084189116
32,0 STARLINK-1804,1,6794504.64555955,53.05321896992328,267.969595816291
33,0 STARLINK-1805,0,6925408.660416507,53.05541897070991,295.5400056744781
34,0 STARLINK-1807,0,6925281.9379656585,53.05481897049537,282.0280008430712
35,0 STARLINK-1808,1,6793362.742198952,53.05281896978025,267.85489577527846
36,0 STARLINK-1809,1,6793344.711488981,53.05321896992328,267.9017957920483
37,0 STARLINK-1810,0,6925431.469663441,53.04751896788515,295.55050567823264
38,0 STARLINK-1811,0,6925343.7522488665,53.05421897028083,297.0398062107529
39,0 STARLINK-1813,0,6925363.968077564,53.05481897049537,282.029700843679
40,0 STARLINK-1814,0,6925317.501927371,53.05241896963722,282.0200008402107
41,0 STARLINK-1815,0,6925354.534414461,53.052518969672974,282.026000842356
42,0 STARLINK-1816,0,6925397.016800513,53.05351897003054,280.52250030475835
43,0 STARLINK-1817,0,6925295.113495955,53.05271896974449,283.5167013753769
44,0 STARLINK-1818,0,6925395.426112892,53.05571897081718,295.5383056738704
45,0 STARLINK-1820,0,6925439.3557851175,53.05121896920814,280.5346003090848
46,0 STARLINK-1821,0,6925364.461522164,53.054318970316594,297.0379062100735
47,0 STARLINK-1822,1,6794890.871309155,53.05211896952995,266.30749522198363
48,0 STARLINK-1823,4,6777790.997789796,53.053618970066296,268.0160958329178
49,0 STARLINK-1824,3,6757875.228880673,53.05331896995903,268.64389605739655
50,0 STARLINK-1825,0,6925340.016198435,53.053618970066296,297.0279062064979
51,0 STARLINK-1826,4,6774768.059192092,53.05311896988752,267.6972957189264
52,0 STARLINK-1827,1,6793800.14259408,53.05391897017356,269.569096388215
53,0 STARLINK-1828,0,6925391.481579326,53.05311896988752,297.0384062102524
54,0 STARLINK-1829,5,6937929.98318021,53.05381897013782,280.39500025916885
55,0 STARLINK-1830,4,6774601.462058911,53.05301896985176,267.65349570326504
56,0 STARLINK-1831,0,6925304.458077293,53.04941896856453,272.1076972959273
57,0 STARLINK-1841,3,6767929.143237732,53.05331896995903,267.46709563661506
58,0 IRIDIUM 33 DEB,2,7165896.441804896,86.26813084638133,48.56721736589043
