,0,points,smoothed_points
0,2002-03-01 11:15:46,98.53073523104769,98.52960568227866
1,2002-03-01 11:15:46,98.53093523111919,98.53195980076747
2,2002-03-01 21:18:18,98.53223523158401,98.53412160020477
3,2002-03-02 00:39:08,98.53363523208462,98.53609806678666
4,2002-03-02 03:59:57,98.53383523215612,98.53789618670926
5,2002-03-02 09:01:12,98.53583523287122,98.53952294616866
6,2002-03-02 10:45:16,98.53793523362214,98.54098533136096
7,2002-03-03 15:16:32,98.54713523691171,98.54229032848227
8,2002-03-03 15:16:32,98.54723523694749,98.54344492372869
9,2002-03-04 23:09:19,98.5483352373408,98.54445610329633
10,2002-03-05 04:11:20,98.54873523748384,98.5453308533813
11,2002-03-05 05:52:00,98.54913523762684,98.54607616017971
12,2002-03-05 10:54:01,98.54963523780563,98.54669900988763
13,2002-03-06 03:40:45,98.55153523848502,98.54720638870121
14,2002-03-06 12:04:06,98.55193523862805,98.54760528281652
15,2002-03-06 18:46:47,98.55243523880684,98.54790267842968
16,2002-03-07 08:12:10,98.55363523923587,98.5481055617368
17,2002-09-06 12:50:32,98.54183523501663,98.54822091893398
18,2002-09-09 22:59:51,98.5424352352312,98.54825573621731
19,2002-09-10 22:28:14,98.54383523573178,98.54821699978291
20,2002-09-11 05:10:38,98.54423523587481,98.54811169582688
21,2002-09-11 23:37:13,98.54583523644688,98.54794681054533
22,2002-09-13 00:46:13,98.54673523676873,98.54772933013436
23,2002-12-19 08:20:17,98.54303523544571,98.54746624079007
24,2002-12-19 18:23:53,98.54383523573178,98.54716452870858
25,2002-12-20 11:09:52,98.54433523591057,98.5468311800841
26,2002-12-21 03:55:53,98.54873523748384,98.54665393251794
27,2003-02-21 23:14:13,98.54353523562449,98.54637535985724
28,2003-02-22 22:42:36,98.54423523587481,98.54604328653184
29,2003-02-23 05:25:00,98.54433523591057,98.54568052167362
30,2003-02-23 22:10:59,98.54503523616086,98.54526356757314
31,2003-02-24 13:16:23,98.5451352361966,98.54504664752005
32,2003-02-25 22:48:21,98.5465352366972,98.54475646870326
33,2003-02-26 22:16:44,98.54753523705477,98.54463746030268
34,2003-02-28 12:50:31,98.54823523730505,98.54449590778201
35,2003-05-16 15:51:35,98.54123523480209,98.54434128814306
36,2003-05-16 22:33:58,98.5414352348736,98.54419317601506
37,2003-05-19 22:39:44,98.54173523498086,98.5442842132172
38,2003-05-21 09:52:18,98.54223523515968,98.54437198873615
39,2003-05-25 12:47:39,98.54453523598205,98.544506963529
40,2003-05-29 05:39:24,98.54713523691171,98.5446652140556
41,2003-10-21 21:28:02,98.54133523483786,98.54485364874209
42,2003-10-27 23:20:05,98.54203523508816,98.54509447421495
43,2003-10-29 00:29:03,98.54203523508816,98.54498504700875
44,2003-10-29 22:16:50,98.54583523644688,98.54486964911025
45,2003-10-30 04:59:14,98.54673523676873,98.54475192273232
46,2003-10-30 21:45:13,98.5479352371978,98.54464088280497
47,2003-10-31 21:13:35,98.54883523751957,98.5445760455261
48,2003-11-01 22:22:35,98.55043523809168,98.54451650848246
49,2004-02-04 04:10:24,98.54093523469484,98.54434510250033
50,2004-02-04 22:36:59,98.54343523558876,98.54419735278161
51,2004-02-05 08:40:34,98.54453523598205,98.54406423307105
52,2004-02-05 17:03:34,98.54563523637538,98.54406692395966
53,2004-02-05 23:45:58,98.54643523666144,98.54394660182555
54,2004-02-06 09:49:33,98.54683523680448,98.5438482598121
55,2004-02-06 16:31:57,98.54693523684021,98.54377302818313
56,2004-04-14 04:10:24,98.53963523423,98.54373588803078
57,2004-04-14 20:56:23,98.54153523490938,98.54372291830994
58,2004-04-15 17:03:34,98.54373523569599,98.54410852627583
59,2004-04-15 22:05:22,98.5446352360178,98.5444956450353
60,2004-04-16 16:31:57,98.54663523673295,98.54487574438072
61,2004-04-16 23:14:21,98.54773523712628,98.54501377926664
62,2004-09-21 02:01:04,98.54043523451605,98.54507838777465
63,2004-09-21 12:04:39,98.54093523469484,98.54500988336727
64,2004-09-21 18:47:03,98.54153523490938,98.54492429136403
65,2004-09-21 20:27:39,98.54183523501663,98.54486020381931
66,2004-09-22 01:29:27,98.54223523515968,98.54488778542785
67,2004-09-22 21:36:38,98.54293523540994,98.5447493745423
68,2004-09-23 00:57:49,98.54343523558876,98.54490056261876
69,2004-09-23 09:20:49,98.54363523566023,98.54496805907542
70,2004-09-23 17:43:49,98.54483523608931,98.54504047750264
71,2004-09-23 21:05:00,98.54503523616086,98.54512984762225
72,2004-09-24 03:47:24,98.54533523626812,98.5452542287399
73,2004-09-24 20:33:23,98.54673523676873,98.54542477853023
74,2004-09-25 04:56:23,98.547435237019,98.54566788718135
75,2004-09-25 11:38:47,98.54783523716202,98.5456324095814
76,2004-09-25 20:01:47,98.54843523737655,98.54563153979919
77,2004-09-26 04:24:46,98.54943523773413,98.54566633335172
78,2004-09-26 11:07:10,98.54963523780563,98.54572963265632
79,2004-09-26 19:30:10,98.55043523809168,98.54581288485488
80,2004-09-26 22:51:22,98.55073523819895,98.5459309102204
81,2004-09-27 03:53:10,98.55123523837774,98.54606349764238
82,2004-09-27 12:16:10,98.55173523855652,98.54597197798294
83,2005-01-06 11:01:22,98.53983523430149,98.54622072889298
84,2005-01-06 22:45:33,98.54013523440877,98.54648121506735
85,2005-01-06 22:45:33,98.54073523462331,98.54672264531062
86,2005-01-07 13:50:57,98.54113523476634,98.54697991963309
87,2005-01-07 20:33:20,98.54253523526694,98.54725018406187
88,2005-01-08 04:56:20,98.54663523673295,98.5472429132264
89,2005-01-08 11:38:44,98.54753523705477,98.54720130185
